 nodes				 score

*****************************

    18				48.879531
   737				36.174941
   118				23.993882
  1719				22.632075
   136				21.814541
    40				21.693948
   143				21.315741
   790				20.973302
   725				17.695470
   849				17.467864
   401				17.455679
  1619				17.135705
    27				16.729740
    77				16.266526
  1401				16.229230
   135				16.117065
  1179				15.965009
  1191				15.932981
   128				15.558427
   550				15.557938
   918				15.538643
  1164				15.341513
    34				15.198734
   726				14.700454
  1247				14.657112
   301				14.141145
    28				14.053793
  1029				13.784017
    59				13.654447
    31				13.639446
  1909				13.543633
  4415				13.535722
   717				13.526195
     1				13.413973
  2227				13.390313
   546				12.860555
   843				12.843908
   735				12.768624
  1621				12.739906
  1918				12.682192
   418				12.579846
  4969				12.389080
    74				12.021148
  1606				11.946915
   388				11.914251
    30				11.864646
    19				11.766155
   738				11.703396
   433				11.700136
  1274				11.609798
  1753				11.605036
  1623				11.603119
  1398				11.391793
  5038				11.389154
    90				10.904683
  1178				10.892081
   780				10.872507
     0				10.856464
   329				10.844996
   398				10.784176
  1577				10.779078
  3685				10.718879
    49				10.680844
    64				10.662777
   395				10.608699
  4416				10.603145
   381				10.565093
  1620				10.488001
   563				10.290049
    44				10.231793
   549				10.102522
  1396				10.058312
   715				10.050905
   125				9.996256
   791				9.990069
   103				9.972590
  1075				9.890717
  1613				9.767708
   663				9.730495
    81				9.646800
  1712				9.609038
  1409				9.509751
  1815				9.498110
  1935				9.485021
  2236				9.452250
  1516				9.427296
    12				9.417432
   295				9.289404
  2066				9.230032
  1471				9.181326
   551				9.047645
   722				8.878287
   860				8.822896
   449				8.748814
  2375				8.715580
   850				8.699760
  2528				8.696880
   102				8.667222
  1903				8.647290
  1177				8.640052
  1910				8.636289
  1173				8.511854
  2512				8.456703
  1617				8.439105
   104				8.432748
   848				8.418534
    29				8.398407
    48				8.385121
  1399				8.370091
  1190				8.349894
  2118				8.339359
   169				8.289867
   130				8.267638
  1894				8.233284
   639				8.150238
  4282				8.100641
  1390				8.032119
  1111				7.995321
   555				7.975864
   723				7.958656
   210				7.929684
  1754				7.882091
    96				7.873629
  1975				7.861679
   776				7.859382
   793				7.803824
   586				7.783900
  1749				7.774886
  4161				7.683399
   844				7.617463
  2028				7.588703
  2969				7.564414
  1163				7.541632
   443				7.537638
    61				7.524095
   854				7.490447
  1635				7.467234
    35				7.464692
   923				7.422814
  1304				7.337392
   431				7.305368
  1432				7.303507
  1756				7.274624
  1024				7.248816
   879				7.219173
   101				7.205373
  4412				7.204758
   385				7.203799
  1716				7.196921
  1405				7.175072
  1755				7.174801
  1440				7.166354
    66				7.151211
  2120				7.144566
  1403				7.098300
   312				7.084189
  1576				7.043617
   883				7.014394
  3655				7.013916
   993				7.012509
  2215				6.998013
   975				6.986427
  1738				6.883660
    83				6.863816
    72				6.852075
   999				6.829868
    21				6.806584
  2643				6.781088
   426				6.764265
   374				6.747897
  1172				6.746858
  1288				6.700486
   447				6.697580
   733				6.687849
  1268				6.679245
   689				6.629937
  1014				6.617920
   187				6.608131
   438				6.588920
  1020				6.584943
    69				6.553399
  1908				6.545470
   863				6.482077
   127				6.473406
  3249				6.408245
  1574				6.392464
  1023				6.388097
   402				6.370266
   965				6.354796
